,,
,,
Catalog #     ,Material Description            ,UPC#
10026,"WHEEL, CUTTER E10817",095691100269
10031,300A PD 230V,095691100313
10041R,300A PD 110V,095691100412
10061,"HEAD, EXPANDER 12MM",095691100610
10076,"CLAMP, JAW FRONT 20",095691100764
10081,"HEAD, EXPANDER 15MM",095691100818
10096,"BOLT, W/WASHER & NUT 40A",095691100962
10131,"HEAD, EXPANDER 22MM",095691101310
10203,"HOUSING, ASM MON/VCR B&W",095691102034
10251,"HEAD, EXPANDER 3/8",095691102515
10261,"HEAD, EXPANDER 1/2",095691102614
10271,"HEAD, EXPANDER 5/8",095691102713
10281,"HEAD, EXPANDER 3/4",095691102812
10291,"HEAD, EXPANDER 7/8",095691102911
10301,"HEAD, EXPANDER 1""",095691103017
10311,"HEAD, EXPANDER 1-1/8",095691103116
10321,"HEAD, EXPANDER 1-1/4",095691103215
10341,"HEAD, EXPANDER 1-1/2",095691103413
10343,PKG OF 2 PINS 122SS WHEEL,095691103437
10348,"RAPIDGRIP, 10""",095691103482
10351,"HEAD, EXPANDER 1-5/8",095691103512
10358,"RAPIDGRIP, 14""",095691103581
10361,"HEAD, EXPANDER 1-3/4",095691103611
10368,"BEARING, NEEDLE",095691103680
10373,"STABILIZER, 2""-8"" CU",095691103734
10378R,"ARM, REACTION F/CU",095691103789
10388,"GUARD, ROLLER 122 & 122XL",095691103888
10393R,"SCALE, 122 & 122XL",095691103932
10408,"GUARD, SWITCH",095691104083
10411,"EXPANDER, MOD S SET A",095691104113
10491,"DIEHEAD, 555 L/DIES",095691104915
10531,"CUTTER, 246L 2-12 CLAY SOIL PI",095691105318
10573,"SLEEVE, VINYL SHAFT PKG OF 2",095691105738
10611,"DIEHEAD, CMPL 12R 1/8 BSPT HS",095691106117
10631R,"DIEHEAD, CMPL 12R 3/8 BSPT HS",095691106315
10673,PLUNGER,095691106735
10843,"SET OF ROLLS 2-6"" 920",095691108432
10848,"SET OF ROLLS 8-12"" 920",095691108487
10853,"SET OF ROLLS 14-16"" 920",095691108531
10858,"SEAL, COUNTIR",095691108586
10883,"OILER,418 ALL WEATHER",095691108838
10903,"HOUSING,MOTOR HC450",095691109033
10908,"SCREW,SELF TAPPING, SET OF 4",095691109088
10913,"COVER,MOTOR HOUSING",095691109132
10918R,"BUMPER,SET OF 2",095691109187
10923,"SCREW,SOC HD, SET OF 6",095691109231
10928,INSULATOR,095691109286
10933,"SCREW,SOC HD",095691109330
10938,"SCREW,SOC HD",095691109385
10968,"BEARING, SPINDLE REAR SERVICE",095691109682
10973,"CUTTER, COPPER 122-XL,115V",095691109736
11003,"HOUSING,MAIN",095691110039
11008,"HOUSING,UPPER ROLL W/INSERT",095691110084
11013,"DRIVE ROLL,2""-6""",095691110138
11018,"GROOVE ROLL,2""-6""",095691110183
11023,"DRIVE ROLL,8""-12""",095691110237
11028,"GROOVE ROLL,8""-12""",095691110282
11033,"DRIVE ROLL, 14""-16""",095691110336
11038,"GROOVE ROLL,14""-16""",095691110381
11043,"GAUGE,DEPTH RH",095691110435
11048,"GAUGE,DEPTH LH",095691110480
11058,"GAUGE,PRESSURE",095691110589
11063,"BEARING,ROLLER",095691110633
11068,"SLIDE,KEY",095691110688
11073,"SHAFT,DRIVE 920",095691110732
11078,"SHAFT,UPPER ROLL",095691110787
11083,"RING,INTERNAL RET. 425",095691110831
11088,"RING,RET. DS4-45",095691110886
11093,"TEE,HYDRAULIC",095691110930
11098,"DECAL,GUARD WARNING",095691110985
11103,"DECAL,DEPTH 920",095691111036
11108,"BEARING,NEEDLE",095691111081
11113,"BOLT,HX HD 5/8 X 7.75",095691111135
11118,"PIN,STOP",095691111180
11123,"ROD,DEPTH ADJ.",095691111234
11128,"BEARING,RET. PLATE",095691111289
11133,"SEAL,GREASE",095691111333
11138,"GUARD,LEFT",095691111388
11141,"THREADER, C12R 1/2-2 BSPT",095691111418
11143,"GUARD,RIGHT",095691111432
11148,"SPRING,TORSION LH",095691111487
11153,"SPRING,TORSION RH",095691111531
11158,"SHAFT,PIVOT",095691111586
11163,"BEARING,ANGULAR CONTACT",095691111630
11168,"SPRING,STOP PIN",095691111685
11173,"PUMP,HAND",095691111739
11178,"LEG, UPPER",095691111784
11183,"LEG, LOWER",095691111838
11188,"BOLT,HX HD 7/16-14X1",095691111883
11193,"PIN,BASE HITCH",095691111937
11198,"PUMP,STANDOFF",095691111982
11203,"SCREW,SOC HD CAP 1/4 X 4",095691112033
11208,"HOSE,HYDRAULIC 920",095691112088
11213,"ADAPTER,3/8 NPT SWIVEL",095691112132
11218,"ROLLER,GUARD 920",095691112187
11223,"SHAFT,ROLLER 920",095691112231
11228,"BASE,920",095691112286
11233,"PIN,CLEVIS",095691112330
11238,"SPRING,RETURN",095691112385
11243,"HANDLE,PUMP ASSY.",095691112439
11248,ACTUATOR,095691112484
11253R,"CABLE,1/16 X 18""",095691112538
11258,"SLEEVES,CABLE CRIMP",095691112583
11263,"CLIP,SPRING",095691112637
11298,"RING,RETAINING,PACK OF 5",095691112989
11303,"RING,RETAINING,PACK OF 5",095691113030
11308,"SCREW,FEED",095691113085
11313,"SCREW,FEED",095691113139
11323,"SCREW,FEED",095691113238
11328,"PIN,TRANSPORTER HITCH",095691113283
11341,"CUTTER, 246LS SOIL PIPE",095691113412
11398,WASHER 1/4 X 9/16 X 1/16,095691113986
11565,"SPRING, COMPRESSION 815",095691115652
11761,"EXPANDER, MOD S SET S6",095691117618
